Fund Code,Date,Asset Class,Name of Investment/Institution/Issuer/Fund Manager,Security Identifier,Units Held,Value (AUD),Weighting (%),Currency
EICLIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",YARAN,,,"952,617",0.1867,
EICLIO,31 Dec 2022,"Fixed Interest (Fixed income, investment in non-associated entities, held directly or by associated entities or by PSTs, internally managed)",Total,,,"1,293,875",0.2535,
EICLIO,31 Dec 2022,International Shares (Listed equity),BRITISH LAND COMPANY PLC,GB0001367019,"36,530.0000","256,011",0.0502,
EICLIO,31 Dec 2022,International Shares (Listed equity),GECINA SA,FR0010040865,"2,022.0000","302,789",0.0593,
EICLIO,31 Dec 2022,International Shares (Listed equity),NIPPON PROLOGIS REIT INC,JP3047550003,43.0000,"148,112",0.0290,
EICLIO,31 Dec 2022,International Shares (Listed equity),SEGRO PLC,GB00B5ZN1N88,"1,996.0000","27,031",0.0053,
EICLIO,31 Dec 2022,International Shares (Listed equity),ASAHI HOLDINGS INC,JP3116700000,"33,998.0000","731,419",0.1433,
EICLIO,31 Dec 2022,International Shares (Listed equity),ATOS SE,FR0000051732,568.0000,"8,050",0.0016,
EICLIO,31 Dec 2022,International Shares (Listed equity),CDL HOSPITALITY TRUSTS,SG1T66931158,"5,605.0000","7,703",0.0015,
EICLIO,31 Dec 2022,International Shares (Listed equity),INTERFACE INC,US4586653044,"9,123.0000","132,776",0.0260,
EICLIO,31 Dec 2022,International Shares (Listed equity),JM AB,SE0000806994,"6,003.0000","146,202",0.0286,
EICLIO,31 Dec 2022,International Shares (Listed equity),MASTERBRAND INC-W/I,US57638P1049,"7,681.0000","85,514",0.0168,
EICLIO,31 Dec 2022,International Shares (Listed equity),NATIONAL EXPRESS GROUP PLC,GB0006215205,"28,754.0000","66,304",0.0130,
EICLIO,31 Dec 2022,International Shares (Listed equity),NFI GROUP INC,CA62910L1022,"5,700.0000","59,053",0.0116,
EICLIO,31 Dec 2022,International Shares (Listed equity),PEDIATRIX MEDICAL GROUP INC,US58502B1061,"6,740.0000","147,692",0.0289,
EICLIO,31 Dec 2022,International Shares (Listed equity),STRATASYS LTD,IL0011267213,"6,567.0000","114,846",0.0225,
EICLIO,31 Dec 2022,International Shares (Listed equity),TENNANT CORPORATION,US8803451033,"7,410.0000","672,768",0.1318,
EICLIO,31 Dec 2022,International Shares (Listed equity),VOSSLOH AG,DE0007667107,"2,387.0000","146,879",0.0288,
EICLIO,31 Dec 2022,International Shares (Listed equity),ACUITY BRANDS INC-W/D,US00508Y1029,"1,587.0000","387,464",0.0759,
EICLIO,31 Dec 2022,International Shares (Listed equity),ASMPT LIMITED,KYG0535Q1331,"12,929.0000","135,933",0.0266,
EICLIO,31 Dec 2022,International Shares (Listed equity),AVNET INCORPORATED,US0538071038,"8,618.0000","528,431",0.1035,
EICLIO,31 Dec 2022,International Shares (Listed equity),BARRATT DEVELOPMENTS PLC,GB0000811801,"26,660.0000","187,644",0.0368,
EICLIO,31 Dec 2022,International Shares (Listed equity),BENESSE HOLDINGS INC,JP3835620000,"14,890.0000","333,810",0.0654,
EICLIO,31 Dec 2022,International Shares (Listed equity),BERKELEY GROUP HOLDINGS PLC,GB00BLJNXL82,"3,884.0000","259,920",0.0509,
EICLIO,31 Dec 2022,International Shares (Listed equity),BLACKBERRY LTD,CA09228F1036,"3,028.0000","14,531",0.0028,
EICLIO,31 Dec 2022,International Shares (Listed equity),BORALEX INC -A,CA09950M3003,"7,185.0000","312,927",0.0613,
EICLIO,31 Dec 2022,International Shares (Listed equity),CITY DEVELOPMENTS LTD,SG1R89002252,"44,077.0000","398,830",0.0782,
EICLIO,31 Dec 2022,International Shares (Listed equity),CREDIT SAISON CO LTD,JP3271400008,"15,164.0000","288,266",0.0565,
EICLIO,31 Dec 2022,International Shares (Listed equity),EUTELSAT COMMUNICATIONS,FR0010221234,"4,367.0000","47,836",0.0094,
EICLIO,31 Dec 2022,International Shares (Listed equity),GILDAN ACTIVEWEAR INC,CA3759161035,"11,237.0000","453,470",0.0889,
EICLIO,31 Dec 2022,International Shares (Listed equity),HULIC CO LTD,JP3360800001,"60,184.0000","699,508",0.1371,
EICLIO,31 Dec 2022,International Shares (Listed equity),HYSAN DEVELPOMENT COMPANY     LIMITED HK$5,HK0014000126,"84,175.0000","402,353",0.0788,
EICLIO,31 Dec 2022,International Shares (Listed equity),IGM FINANCIAL INC,CA4495861060,"25,225.0000","1,037,693",0.2033,
EICLIO,31 Dec 2022,International Shares (Listed equity),INNERGEX RENEWABLE ENERGY,CA45790B1040,"18,057.0000","318,353",0.0624,
EICLIO,31 Dec 2022,International Shares (Listed equity),INTERRENT REAL ESTATE INVEST,CA46071W2058,0.0000,6,0.0000,
EICLIO,31 Dec 2022,International Shares (Listed equity),ITRON INC,US4657411066,"2,624.0000","195,958",0.0384,
EICLIO,31 Dec 2022,International Shares (Listed equity),ITV PLC ORD GBP 0-10,GB0033986497,"31,815.0000","42,416",0.0083,
EICLIO,31 Dec 2022,International Shares (Listed equity),J SAINSBURY PLC,GB00B019KW72,"98,809.0000","381,555",0.0748,
EICLIO,31 Dec 2022,International Shares (Listed equity),JBG SMITH PROPERTIES,US46590V1008,"23,235.0000","650,304",0.1274,
EICLIO,31 Dec 2022,International Shares (Listed equity),JUNGHEINRICH AG PREFERENCE,DE0006219934,"4,418.0000","184,813",0.0362,
EICLIO,31 Dec 2022,International Shares (Listed equity),KAMIGUMI CO LTD,JP3219000001,"24,319.0000","730,304",0.1431,
EICLIO,31 Dec 2022,International Shares (Listed equity),KION GROUP AG,DE000KGX8881,"2,243.0000","94,510",0.0185,
EICLIO,31 Dec 2022,International Shares (Listed equity),KURITA WATER INDS,JP3270000007,"5,988.0000","365,365",0.0716,
EICLIO,31 Dec 2022,International Shares (Listed equity),LITTELFUSE INC,US5370081045,"1,365.0000","443,141",0.0868,
EICLIO,31 Dec 2022,International Shares (Listed equity),MANPOWERGROUP,US56418H1005,"4,722.0000","579,371",0.1135,
EICLIO,31 Dec 2022,International Shares (Listed equity),MEDICLINIC INTERNATIONAL PLC,GB00B8HX8Z88,"34,959.0000","308,812",0.0605,
EICLIO,31 Dec 2022,International Shares (Listed equity),MILLERKNOLL INC,US6005441000,"6,054.0000","187,572",0.0368,
EICLIO,31 Dec 2022,International Shares (Listed equity),MILLICOM INTERNATIONAL CELLULAR SA SDR,SE0001174970,"2,026.0000","37,886",0.0074,
EICLIO,31 Dec 2022,International Shares (Listed equity),NGK INSULATORS Y50,JP3695200000,"40,705.0000","763,345",0.1496,
EICLIO,31 Dec 2022,International Shares (Listed equity),NMC HEALTH PLC DELIST,GB00B7FC0762,131.0000,"2,176",0.0004,
EICLIO,31 Dec 2022,International Shares (Listed equity),NOMURA REAL ESTATE HOLDINGS INC,JP3762900003,"11,448.0000","362,087",0.0710,
EICLIO,31 Dec 2022,International Shares (Listed equity),NORDEX SE,DE000A0D6554,"3,342.0000","69,432",0.0136,
EICLIO,31 Dec 2022,International Shares (Listed equity),NORTHLAND POWER INC,CA6665111002,0.0000,8,0.0000,
EICLIO,31 Dec 2022,International Shares (Listed equity),NORTHWEST HEALTHCARE PROPERT INV TRUST,CA6674951059,1.0000,15,0.0000,
EICLIO,31 Dec 2022,International Shares (Listed equity),ODAKYU ELECTRIC RAILWAY CO LTD,JP3196000008,"18,445.0000","352,697",0.0691,
EICLIO,31 Dec 2022,International Shares (Listed equity),ORMAT TECHNOLOGIES INC,US6866881021,"2,540.0000","323,963",0.0635,
EICLIO,31 Dec 2022,International Shares (Listed equity),PATTERSON COMPANIES INC,US7033951036,"11,322.0000","467,964",0.0917,
EICLIO,31 Dec 2022,International Shares (Listed equity),POWER INTEGRATIONS INC,US7392761034,"3,546.0000","374,977",0.0735,
EICLIO,31 Dec 2022,International Shares (Listed equity),PROSIEBENSAT.1 MEDIA SE,DE000PSM7770,"12,492.0000","164,163",0.0322,
EICLIO,31 Dec 2022,International Shares (Listed equity),SCHIBSTED ASA  A-SHARES,NO0003028904,"2,255.0000","62,610",0.0123,
EICLIO,31 Dec 2022,International Shares (Listed equity),SENSATA TECHNOLOGIES HOLDING,GB00BFMBMT84,"8,764.0000","521,825",0.1023,
EICLIO,31 Dec 2022,International Shares (Listed equity),SUZUKEN CO LTD,JP3398000004,"10,364.0000","413,509",0.0810,
EICLIO,31 Dec 2022,International Shares (Listed equity),TAYLOR WIMPEY PLC,GB0008782301,"102,265.0000","184,390",0.0361,
EICLIO,31 Dec 2022,International Shares (Listed equity),TELE2 AB-B SHARES,SE0005190238,"10,341.0000","124,543",0.0244,
EICLIO,31 Dec 2022,International Shares (Listed equity),TELENET GROUP HOLDING NV,BE0003826436,"4,853.0000","116,465",0.0228,
EICLIO,31 Dec 2022,International Shares (Listed equity),THE MACERICH COMPANY,US5543821012,"8,851.0000","146,957",0.0288,
EICLIO,31 Dec 2022,International Shares (Listed equity),TOTO LIMITED                  JPY 50 COMMON,JP3596200000,"4,804.0000","241,575",0.0473,
EICLIO,31 Dec 2022,International Shares (Listed equity),TREND MICRO INC,JP3637300009,"2,297.0000","157,593",0.0309,
EICLIO,31 Dec 2022,International Shares (Listed equity),U-HAUL HOLDING COMPANY,US0235865062,18.0000,"1,496",0.0003,
EICLIO,31 Dec 2022,International Shares (Listed equity),VALEO SA,FR0013176526,"3,257.0000","85,600",0.0168,
EICLIO,31 Dec 2022,International Shares (Listed equity),VITESCO TECHNOLOGIES GROUP A,DE000VTSC017,"1,323.0000","112,955",0.0221,
EICLIO,31 Dec 2022,International Shares (Listed equity),VORNADO REALTY TRUST,US9290421091,"9,788.0000","300,346",0.0589,
EICLIO,31 Dec 2022,International Shares (Listed equity),3I GROUP PLC NPV,GB00B1YW4409,"19,722.0000","469,296",0.0920,
EICLIO,31 Dec 2022,International Shares (Listed equity),ACCENTURE PLC,IE00B4BNMY34,"4,828.0000","1,899,899",0.3723,
EICLIO,31 Dec 2022,International Shares (Listed equity),ADOBE INC,US00724F1012,"1,523.0000","755,908",0.1481,
EICLIO,31 Dec 2022,International Shares (Listed equity),ADVANCED MICRO DEVICES,US0079031078,"5,857.0000","559,409",0.1096,
EICLIO,31 Dec 2022,International Shares (Listed equity),AEGON NV,NL0000303709,"37,956.0000","283,019",0.0555,
EICLIO,31 Dec 2022,International Shares (Listed equity),AIA GROUP LIMITED,HK0000069689,"53,273.0000","873,641",0.1712,
EICLIO,31 Dec 2022,International Shares (Listed equity),AKAMAI TECHNOLOGIES INC,US00971T1016,"3,279.0000","407,574",0.0799,
EICLIO,31 Dec 2022,International Shares (Listed equity),ALEXANDRIA REAL ESTATE EQUITIES INC,US0152711091,"3,546.0000","761,767",0.1493,
EICLIO,31 Dec 2022,International Shares (Listed equity),ALLEGION PLC,IE00BFRT3W74,"6,343.0000","984,468",0.1929,
EICLIO,31 Dec 2022,International Shares (Listed equity),ALLIANZ SE HOLDING DDM5 (REGD),DE0008404005,"3,641.0000","1,151,094",0.2256,
EICLIO,31 Dec 2022,International Shares (Listed equity),ALPHABET INC-CL A,US02079K3059,"32,025.0000","4,166,518",0.8165,
EICLIO,31 Dec 2022,International Shares (Listed equity),AMERICAN EXPRESS COMPANY,US0258161092,"8,482.0000","1,847,899",0.3621,
EICLIO,31 Dec 2022,International Shares (Listed equity),AMERIPRISE FINANCIAL INC,US03076C1062,"1,970.0000","904,500",0.1772,
EICLIO,31 Dec 2022,International Shares (Listed equity),AMGEN INC,US0311621009,"3,554.0000","1,376,309",0.2697,
EICLIO,31 Dec 2022,International Shares (Listed equity),AMUNDI SA,FR0004125920,"4,872.0000","406,372",0.0796,
EICLIO,31 Dec 2022,International Shares (Listed equity),ANALOG DEVICES INC,US0326541051,"5,681.0000","1,374,172",0.2693,
EICLIO,31 Dec 2022,International Shares (Listed equity),ANSYS INC,US03662Q1058,"2,340.0000","833,615",0.1634,
EICLIO,31 Dec 2022,International Shares (Listed equity),AON PLC/ IRELAND,IE00BLP1HW54,"3,567.0000","1,578,901",0.3094,
EICLIO,31 Dec 2022,International Shares (Listed equity),APPLE INC,US0378331005,"42,372.0000","8,118,232",1.5908,
EICLIO,31 Dec 2022,International Shares (Listed equity),APPLIED MATERIALS INC,US0382221051,"5,513.0000","791,618",0.1551,
EICLIO,31 Dec 2022,International Shares (Listed equity),APTIV PLC,JE00B783TY65,"2,832.0000","388,919",0.0762,
EICLIO,31 Dec 2022,International Shares (Listed equity),ARISTA NETWORKS INC,US0404131064,"4,152.0000","743,034",0.1456,
EICLIO,31 Dec 2022,International Shares (Listed equity),ASML HOLDING NV,NL0010273215,958.0000,"759,820",0.1489,
EICLIO,31 Dec 2022,International Shares (Listed equity),ASSA ABLOY AB-B ORDINARY SHARES,SE0007100581,"11,432.0000","361,913",0.0709,
EICLIO,31 Dec 2022,International Shares (Listed equity),AT&T INC,US00206R1023,"50,715.0000","1,376,781",0.2698,
EICLIO,31 Dec 2022,International Shares (Listed equity),ATLASSIAN CORP PLC-CLASS A,US0494681010,360.0000,"68,228",0.0134,
EICLIO,31 Dec 2022,International Shares (Listed equity),AUTODESK INC,US0527691069,"1,381.0000","380,473",0.0746,
EICLIO,31 Dec 2022,International Shares (Listed equity),AVALONBAY COMMUNITIES INC,US0534841012,"2,765.0000","658,624",0.1291,
EICLIO,31 Dec 2022,International Shares (Listed equity),AVIVA PLC,GB00BPQY8M80,"58,669.0000","460,808",0.0903,
EICLIO,31 Dec 2022,International Shares (Listed equity),AXA SA,FR0000120628,"24,290.0000","995,985",0.1952,
EICLIO,31 Dec 2022,International Shares (Listed equity),BIOGEN INC,US09062X1037,776.0000,"317,014",0.0621,
EICLIO,31 Dec 2022,International Shares (Listed equity),BLOCK INC,US8522341036,"1,705.0000","157,995",0.0310,
EICLIO,31 Dec 2022,International Shares (Listed equity),BOSTON PROPERTIES INC,US1011211018,"5,013.0000","499,611",0.0979,
EICLIO,31 Dec 2022,International Shares (Listed equity),BROADCOM INC,US11135F1012,"2,455.0000","2,023,976",0.3966,
EICLIO,31 Dec 2022,International Shares (Listed equity),BROOKFIELD RENEWABLE COR-W/I,CA11284V1058,"7,750.0000","314,359",0.0616,
EICLIO,31 Dec 2022,International Shares (Listed equity),BROOKFIELD RENEWABLE ENERGY,BMG162581083,"8,066.0000","300,917",0.0590,
EICLIO,31 Dec 2022,International Shares (Listed equity),BT GROUP PLC-W/I,GB0030913577,"131,991.0000","262,337",0.0514,
EICLIO,31 Dec 2022,International Shares (Listed equity),BUREAU VERITAS SA,FR0006174348,"10,210.0000","395,437",0.0775,
EICLIO,31 Dec 2022,International Shares (Listed equity),CADENCE DESIGN SYSTEMS INC,US1273871087,"3,041.0000","720,342",0.1412,
EICLIO,31 Dec 2022,International Shares (Listed equity),CANADIAN NATIONAL RAILWAY,CA1363751027,"7,372.0000","1,292,319",0.2532,
EICLIO,31 Dec 2022,International Shares (Listed equity),CANADIAN PACIFIC RAILWAY LTD,CA13645T1003,"11,211.0000","1,233,120",0.2416,
EICLIO,31 Dec 2022,International Shares (Listed equity),CAPGEMINI SA,FR0000125338,"1,389.0000","340,860",0.0668,
EICLIO,31 Dec 2022,International Shares (Listed equity),CARDINAL HEALTH INC,US14149Y1082,"6,588.0000","746,766",0.1463,
EICLIO,31 Dec 2022,International Shares (Listed equity),CBRE GROUP INC,US12504L1098,"9,673.0000","1,097,783",0.2151,
EICLIO,31 Dec 2022,International Shares (Listed equity),CHUBB LIMITED,CH0044328745,"7,052.0000","2,293,838",0.4495,
EICLIO,31 Dec 2022,International Shares (Listed equity),CHUGHAI PHARM,JP3519400000,"13,296.0000","500,460",0.0981,
EICLIO,31 Dec 2022,International Shares (Listed equity),COGNIZANT TECHNOLOGY SOLUTIONS CORPORATION,US1924461023,"7,324.0000","617,611",0.1210,
EICLIO,31 Dec 2022,International Shares (Listed equity),CONTINENTAL AG NPV,DE0005439004,"2,382.0000","209,827",0.0411,
EICLIO,31 Dec 2022,International Shares (Listed equity),DAI-ICHI LIFE HOLDINGS INC,JP3476480003,"16,999.0000","568,797",0.1115,
EICLIO,31 Dec 2022,International Shares (Listed equity),DAIWA HOUSE INDUSTRIES Y50,JP3505000004,"18,434.0000","626,097",0.1227,
EICLIO,31 Dec 2022,International Shares (Listed equity),DASSAULT SYSTEMES SE,FR0014003TT8,"2,791.0000","147,112",0.0288,
EICLIO,31 Dec 2022,International Shares (Listed equity),DELL TECHNOLOGIES -C  W/I,US24703L2025,"6,546.0000","388,231",0.0761,
EICLIO,31 Dec 2022,International Shares (Listed equity),DIGITAL REALTY TRUST INC,US2538681030,"2,986.0000","441,490",0.0865,
EICLIO,31 Dec 2022,International Shares (Listed equity),DOCUSIGN INC,US2561631068,979.0000,"79,967",0.0157,
EICLIO,31 Dec 2022,International Shares (Listed equity),EAST JAPAN RAILWAY CO,JP3783600004,"8,980.0000","754,690",0.1479,
EICLIO,31 Dec 2022,International Shares (Listed equity),EATON CORP PLC,IE00B8KQN827,"7,377.0000","1,707,238",0.3345,
EICLIO,31 Dec 2022,International Shares (Listed equity),EDENRED,FR0010908533,"2,689.0000","215,349",0.0422,
EICLIO,31 Dec 2022,International Shares (Listed equity),ELEVANCE HEALTH INC,US0367521038,"1,940.0000","1,467,483",0.2876,
EICLIO,31 Dec 2022,International Shares (Listed equity),ELIA GROUP SA/NV,BE0003822393,"1,257.0000","262,791",0.0515,
EICLIO,31 Dec 2022,International Shares (Listed equity),ELISA OYJ,FI0009007884,"8,408.0000","654,471",0.1282,
EICLIO,31 Dec 2022,International Shares (Listed equity),ENPHASE ENERGY INC,US29355A1079,598.0000,"233,701",0.0458,
EICLIO,31 Dec 2022,International Shares (Listed equity),EQUINIX INC,US29444U7000,811.0000,"782,946",0.1534,
EICLIO,31 Dec 2022,International Shares (Listed equity),EQUITY RESIDENTIAL,US29476L1070,"7,842.0000","682,257",0.1337,
EICLIO,31 Dec 2022,International Shares (Listed equity),ESSILORLUXOTTICA,FR0000121667,"2,889.0000","769,182",0.1507,
EICLIO,31 Dec 2022,International Shares (Listed equity),EXPERIAN PLC,GB00B19NLV48,"8,122.0000","405,268",0.0794,
EICLIO,31 Dec 2022,International Shares (Listed equity),FIDELITY NATIONAL INFORMATION SERVICES INC,US31620M1062,"4,942.0000","494,468",0.0969,
EICLIO,31 Dec 2022,International Shares (Listed equity),FIRST SOLAR INC,US3364331070,550.0000,"121,384",0.0238,
EICLIO,31 Dec 2022,International Shares (Listed equity),FONDIARIA-SAI SPA,IT0004827447,"277,087.0000","1,003,833",0.1967,
EICLIO,31 Dec 2022,International Shares (Listed equity),FORTINET INC,US34959E1091,"3,946.0000","284,500",0.0557,
EICLIO,31 Dec 2022,International Shares (Listed equity),FORTUNE BRANDS INNOVATIONS INC,US34964C1062,"7,681.0000","646,846",0.1268,
EICLIO,31 Dec 2022,International Shares (Listed equity),GARTNER INC,US3666511072,"1,313.0000","650,953",0.1276,
EICLIO,31 Dec 2022,International Shares (Listed equity),GEBERIT AG,CH0030170408,746.0000,"517,939",0.1015,
EICLIO,31 Dec 2022,International Shares (Listed equity),GETLINK SE,FR0010533075,"15,344.0000","361,615",0.0709,
EICLIO,31 Dec 2022,International Shares (Listed equity),GJENSIDIGE FORSIKRING ASA,NO0010582521,"12,694.0000","365,207",0.0716,
EICLIO,31 Dec 2022,International Shares (Listed equity),GODADDY INC - CLASS A,US3802371076,"6,228.0000","687,079",0.1346,
EICLIO,31 Dec 2022,International Shares (Listed equity),GREAT-WEST LIFECO INC,CA39138C1068,"38,192.0000","1,300,966",0.2549,
EICLIO,31 Dec 2022,International Shares (Listed equity),HANKYU HANSHIN HOLDINGS INC,JP3774200004,"21,151.0000","926,630",0.1816,
EICLIO,31 Dec 2022,International Shares (Listed equity),HEALTHPEAK PROPERTIES INC,US42250P1030,"19,916.0000","736,245",0.1443,
EICLIO,31 Dec 2022,International Shares (Listed equity),HENRY SCHEIN INC,US8064071025,"10,094.0000","1,188,825",0.2330,
EICLIO,31 Dec 2022,International Shares (Listed equity),HKT TRUST AND HKT LTD,HK0000093390,"308,812.0000","558,355",0.1094,
EICLIO,31 Dec 2022,International Shares (Listed equity),HOST HOTELS AND RESORTS INC,US44107P1049,"13,325.0000","315,371",0.0618,
EICLIO,31 Dec 2022,International Shares (Listed equity),HUMANA INCORPORATED,US4448591028,"1,469.0000","1,109,663",0.2174,
EICLIO,31 Dec 2022,International Shares (Listed equity),INCYTE CORPORATION,US45337C1027,"5,958.0000","705,722",0.1383,
EICLIO,31 Dec 2022,International Shares (Listed equity),INFINEON TECHNOLOGIES AG,DE0006231004,"4,046.0000","181,042",0.0355,
EICLIO,31 Dec 2022,International Shares (Listed equity),ING GROEP NV-CVA,NL0011821202,"41,186.0000","738,130",0.1446,
EICLIO,31 Dec 2022,International Shares (Listed equity),INTACT FINANCIAL CORP,CA45823T1066,"4,065.0000","862,341",0.1690,
EICLIO,31 Dec 2022,International Shares (Listed equity),INTEL CORPORATION,US4581401001,"19,255.0000","750,428",0.1471,
EICLIO,31 Dec 2022,International Shares (Listed equity),INTERNATIONAL BUSINESS MACHINE COMMON SHARES,US4592001014,"4,489.0000","932,631",0.1828,
EICLIO,31 Dec 2022,International Shares (Listed equity),INTESA SANPAOLO,IT0000072618,"288,967.0000","945,005",0.1852,
EICLIO,31 Dec 2022,International Shares (Listed equity),INTUIT INC,US4612021034,"1,591.0000","913,391",0.1790,
EICLIO,31 Dec 2022,International Shares (Listed equity),INVESCO LIMITED,BMG491BT1088,"13,960.0000","370,319",0.0726,
EICLIO,31 Dec 2022,International Shares (Listed equity),IQVIA HOLDINGS INC,US46266C1053,"3,269.0000","987,629",0.1935,
EICLIO,31 Dec 2022,International Shares (Listed equity),JACK HENRY & ASSOCIATES INC,US4262811015,"2,837.0000","734,401",0.1439,
EICLIO,31 Dec 2022,International Shares (Listed equity),JONES LANG LASALLE INCORPORATED,US48020Q1076,"1,650.0000","387,803",0.0760,
EICLIO,31 Dec 2022,International Shares (Listed equity),JUNIPER NETWORKS INC,US48203R1041,"23,562.0000","1,110,416",0.2176,
EICLIO,31 Dec 2022,International Shares (Listed equity),KDDI CORP,JP3496400007,"15,672.0000","697,428",0.1367,
EICLIO,31 Dec 2022,International Shares (Listed equity),KLA CORP,US4824801009,"1,452.0000","807,148",0.1582,
EICLIO,31 Dec 2022,International Shares (Listed equity),KONINKLIJKE KPN NV,NL0000009082,"253,129.0000","1,151,276",0.2256,
EICLIO,31 Dec 2022,International Shares (Listed equity),KYOCERA CORPORATION           JPY 50 COMMON,JP3249600002,"10,121.0000","741,080",0.1452,
EICLIO,31 Dec 2022,International Shares (Listed equity),KYOWA KIRIN CO LTD,JP3256000005,"11,923.0000","402,425",0.0789,
EICLIO,31 Dec 2022,International Shares (Listed equity),LAM RESEARCH CORPORATION,US5128071082,918.0000,"568,717",0.1114,
EICLIO,31 Dec 2022,International Shares (Listed equity),LEGAL & GENERAL GROUP PLC 2-5P,GB0005603997,"119,386.0000","528,356",0.1035,
EICLIO,31 Dec 2022,International Shares (Listed equity),LEGRAND SA,FR0010307819,"4,393.0000","517,307",0.1014,
EICLIO,31 Dec 2022,International Shares (Listed equity),LENNOX INTERNATIONAL INC,US5261071071,"1,784.0000","629,258",0.1233,
EICLIO,31 Dec 2022,International Shares (Listed equity),LIBERTY GLOBAL PLC-SERIES C,GB00B8W67B19,"34,888.0000","999,578",0.1959,
EICLIO,31 Dec 2022,International Shares (Listed equity),MANULIFE FINANCIAL CORPORATION,CA56501R1064,"89,446.0000","2,350,883",0.4607,
EICLIO,31 Dec 2022,International Shares (Listed equity),MARVELL TECHNOLOGY INC,US5738741041,"5,205.0000","284,299",0.0557,
EICLIO,31 Dec 2022,International Shares (Listed equity),MASTERCARD INC CLASS A,US57636Q1040,"5,007.0000","2,567,416",0.5031,
EICLIO,31 Dec 2022,International Shares (Listed equity),MERCADOLIBRE INC,US58733R1023,98.0000,"122,311",0.0240,
EICLIO,31 Dec 2022,International Shares (Listed equity),META PLATFORMS INC,US30303M1027,"5,881.0000","1,043,580",0.2045,
EICLIO,31 Dec 2022,International Shares (Listed equity),METTLER-TOLEDO INTERNATIONAL INC,US5926881054,527.0000,"1,124,134",0.2203,
EICLIO,31 Dec 2022,International Shares (Listed equity),MICROCHIP TECHNOLOGY INC,US5950171042,"7,277.0000","753,859",0.1477,
EICLIO,31 Dec 2022,International Shares (Listed equity),MICRON TECHNOLOGY INC $US0-01 COM STK,US5951121038,"6,926.0000","510,429",0.1000,
EICLIO,31 Dec 2022,International Shares (Listed equity),MICROSOFT CORP,US5949181045,"19,083.0000","6,748,380",1.3224,
EICLIO,31 Dec 2022,International Shares (Listed equity),MID-AMERICA APARTMENT COMMUNITIES INC,US59522J1034,"4,200.0000","972,250",0.1905,
EICLIO,31 Dec 2022,International Shares (Listed equity),MITSUBISHI ESTATE Y50,JP3899600005,"22,324.0000","426,874",0.0836,
EICLIO,31 Dec 2022,International Shares (Listed equity),MSCI INCORPORATED,US55354G1004,"1,213.0000","832,116",0.1631,
EICLIO,31 Dec 2022,International Shares (Listed equity),MUENCHENER RUECKVERSICHERUNGS-GESELLSCHAFT REGD,DE0008430026,"1,343.0000","642,724",0.1259,
EICLIO,31 Dec 2022,International Shares (Listed equity),MURATA MANUFACTURING          JPY 50 COMMON,JP3914400001,"7,093.0000","522,267",0.1023,
EICLIO,31 Dec 2022,International Shares (Listed equity),NEC CORPORATION,JP3733000008,"2,794.0000","144,728",0.0284,
EICLIO,31 Dec 2022,International Shares (Listed equity),NETFLIX INC,US64110L1061,"1,582.0000","687,811",0.1348,
EICLIO,31 Dec 2022,International Shares (Listed equity),NIBE INDUSTRIER AB-B SHS,SE0015988019,"8,444.0000","116,039",0.0227,
EICLIO,31 Dec 2022,International Shares (Listed equity),NIDEC CORPORATION,JP3734800000,"3,563.0000","272,313",0.0534,
EICLIO,31 Dec 2022,International Shares (Listed equity),NOKIA CORPORATION - A SHARE   EUR 0-06,FI0009000681,"47,617.0000","324,255",0.0635,
EICLIO,31 Dec 2022,International Shares (Listed equity),NOMURA RESEARCH INSTITUTE LTD,JP3762800005,"1,313.0000","45,715",0.0090,
EICLIO,31 Dec 2022,International Shares (Listed equity),NORTHERN TRUST CP             COM USD1.666,US6658591044,"5,335.0000","696,138",0.1364,
EICLIO,31 Dec 2022,International Shares (Listed equity),NTT DATA CORP ORD JPY5000,JP3165700000,"10,396.0000","224,474",0.0440,
EICLIO,31 Dec 2022,International Shares (Listed equity),NVIDIA CORPORATION,US67066G1040,"6,589.0000","1,419,811",0.2782,
EICLIO,31 Dec 2022,International Shares (Listed equity),NXP SEMICONDUCTORS NV,NL0009538784,935.0000,"217,872",0.0427,
EICLIO,31 Dec 2022,International Shares (Listed equity),OMRON CORPORATION,JP3197800000,"3,663.0000","262,188",0.0514,
EICLIO,31 Dec 2022,International Shares (Listed equity),OPEN TEXT CORPORATION,CA6837151068,"6,314.0000","275,703",0.0540,
EICLIO,31 Dec 2022,International Shares (Listed equity),ORANGE SA ORDS,FR0000133308,"58,863.0000","859,764",0.1685,
EICLIO,31 Dec 2022,International Shares (Listed equity),ORIENTIAL LAND CO LTD,JP3198900007,"8,715.0000","373,220",0.0731,
EICLIO,31 Dec 2022,International Shares (Listed equity),ORSTED A/S,DK0060094928,"1,144.0000","152,840",0.0299,
EICLIO,31 Dec 2022,International Shares (Listed equity),OWENS CORNING INC,US6907421019,"4,867.0000","612,236",0.1200,
EICLIO,31 Dec 2022,International Shares (Listed equity),PARAMOUNT GLOBAL,US92556H2067,"8,291.0000","206,386",0.0404,
EICLIO,31 Dec 2022,International Shares (Listed equity),PAYCHEX INC,US7043261079,"5,156.0000","878,659",0.1722,
